n_bands,metric,is_strict_local_max,is_plateau,plateau_span,eps
21,Z_R2,False,False,1,0.00607690215999011
22,Z_R2,False,False,1,0.00607690215999011
23,Z_R2,False,False,1,0.00607690215999011
24,Z_R2,False,False,1,0.00607690215999011
25,Z_R2,True,False,1,0.00607690215999011
26,Z_R2,False,False,1,0.00607690215999011
27,Z_R2,False,False,1,0.00607690215999011
28,Z_R2,True,True,8,0.00607690215999011
29,Z_R2,False,True,9,0.00607690215999011
30,Z_R2,False,True,7,0.00607690215999011
31,Z_R2,True,True,8,0.00607690215999011
32,Z_R2,False,True,9,0.00607690215999011
33,Z_R2,False,True,8,0.00607690215999011
34,Z_R2,False,False,1,0.00607690215999011
35,Z_R2,False,False,1,0.00607690215999011
36,Z_R2,True,False,1,0.00607690215999011
37,Z_R2,False,False,1,0.00607690215999011
38,Z_R2,False,False,1,0.00607690215999011
39,Z_R2,False,False,1,0.00607690215999011
40,Z_R2,False,False,1,0.00607690215999011
41,Z_R2,True,False,1,0.00607690215999011
42,Z_R2,False,False,1,0.00607690215999011
43,Z_R2,False,False,1,0.00607690215999011
44,Z_R2,True,False,1,0.00607690215999011
45,Z_R2,False,False,1,0.00607690215999011
46,Z_R2,False,False,1,0.00607690215999011
47,Z_R2,False,True,4,0.00607690215999011
48,Z_R2,True,True,4,0.00607690215999011
49,Z_R2,False,False,1,0.00607690215999011
50,Z_R2,False,False,1,0.00607690215999011
51,Z_R2,True,False,1,0.00607690215999011
52,Z_R2,False,False,1,0.00607690215999011
53,Z_R2,False,False,1,0.00607690215999011
54,Z_R2,False,False,1,0.00607690215999011
55,Z_R2,False,False,1,0.00607690215999011
56,Z_R2,True,True,4,0.00607690215999011
57,Z_R2,False,True,4,0.00607690215999011
58,Z_R2,False,False,1,0.00607690215999011
59,Z_R2,False,False,1,0.00607690215999011
60,Z_R2,True,True,3,0.00607690215999011
61,Z_R2,False,False,1,0.00607690215999011
62,Z_R2,False,False,1,0.00607690215999011
63,Z_R2,False,True,3,0.00607690215999011
64,Z_R2,False,False,1,0.00607690215999011
65,Z_R2,False,False,1,0.00607690215999011
66,Z_R2,True,False,1,0.00607690215999011
67,Z_R2,False,False,1,0.00607690215999011
68,Z_R2,False,False,1,0.00607690215999011
69,Z_R2,False,False,1,0.00607690215999011
70,Z_R2,False,False,1,0.00607690215999011
71,Z_R2,True,False,1,0.00607690215999011
72,Z_R2,False,False,1,0.00607690215999011
73,Z_R2,False,False,1,0.00607690215999011
74,Z_R2,False,False,1,0.00607690215999011
75,Z_R2,True,False,1,0.00607690215999011
76,Z_R2,False,True,3,0.00607690215999011
77,Z_R2,False,True,5,0.00607690215999011
78,Z_R2,True,True,3,0.00607690215999011
79,Z_R2,False,False,1,0.00607690215999011
