A_symbol,B_symbol,y_exists,kernel_cosine,kernel_dot,kernel_rbf,kernel_laplacian,kernel_poly2
Pa,Sb,1,-2.618127028058e-01,-2.453250237928e+00,4.290117142800e-01,3.985469709920e-01,8.717881074677e-01
Pa,Se,1,-2.979555361103e-01,-2.951914169247e+00,4.124426513462e-01,3.902006821531e-01,8.468021539360e-01
Pa,Si,1,-5.263055481310e-01,-5.566059236890e+00,3.522521736274e-01,3.600640218836e-01,7.217623315549e-01
Pa,Sn,1,-3.125388147783e-01,-2.707861480201e+00,4.296695483129e-01,3.988791612143e-01,8.589852185983e-01
Pa,Sr,0,-3.523350682406e-01,-3.501892894125e+00,4.000577891922e-01,3.839836518807e-01,8.196663109399e-01
Pa,Te,1,-1.870898950565e-01,-1.751663051025e+00,4.456697105298e-01,4.069818288512e-01,9.075567988813e-01
Pa,Y,0,-8.476985329558e-02,-6.185154305900e+00,6.514323098765e-04,6.663219927950e-02,6.936119175684e-01
Pa,Zr,0,-1.148985108797e-01,-1.593545290731e+00,3.963861036224e-01,3.821432518031e-01,9.157173375307e-01
Pb,Pd,0,2.651027261781e-01,2.739344444732e+00,4.806301762318e-01,4.248776845203e-01,1.153554051787e+00
Pb,Pm,1,4.625238381741e-01,2.782117071597e+00,8.072715756680e-01,6.295788577661e-01,1.156038596566e+00
Pb,Po,0,7.225109377651e-01,3.453560098812e+00,9.228456847528e-01,7.532480942058e-01,1.195391179451e+00
Pb,Pr,1,3.588147963998e-01,2.218371477529e+00,7.714356958042e-01,6.008479634463e-01,1.123506692001e+00
Pb,Pt,0,7.492513346786e-01,2.857213834555e+00,9.495297371329e-01,7.964660971156e-01,1.160407227650e+00
Pb,Pu,1,-1.211195018141e-01,-1.104981250594e+00,4.638087589087e-01,4.162299014593e-01,9.411631636379e-01
Pb,Ra,1,7.788829184900e-01,3.569753843811e+00,9.412570484971e-01,7.818856577799e-01,1.202268025528e+00
Pb,Rb,1,4.967934740852e-01,2.188933472972e+00,8.837872291907e-01,7.036451761374e-01,1.121820676953e+00
Pb,Re,0,4.944449165327e-01,2.142186165382e+00,8.857139263399e-01,7.058380672541e-01,1.119145900515e+00
Pb,Rf,1,-3.641396872435e-01,-5.159519080992e+00,1.577145143235e-01,2.569092716526e-01,7.405523923694e-01
Pb,Rh,0,6.225001995470e-01,3.340413005180e+00,8.781802421420e-01,6.973825481310e-01,1.188713602212e+00
Pb,Rn,0,-6.170374513588e-03,-3.622195841841e-02,7.019774652338e-01,5.516418502867e-01,9.980430146876e-01
Pb,Ru,0,5.376946747165e-01,2.670680362650e+00,8.728967570079e-01,6.916344613967e-01,1.149571132531e+00
Pb,S,0,4.172934672172e-01,2.181557710797e+00,8.337402298577e-01,6.528425626020e-01,1.121398440208e+00
Pb,Sb,0,7.339070958752e-01,2.786840609206e+00,9.467757408970e-01,7.914683428056e-01,1.156313137810e+00
Pb,Sc,1,5.045075921405e-01,2.321310937158e+00,8.787723461638e-01,6.980357787449e-01,1.129412340261e+00
Pb,Se,0,8.237310364722e-01,3.307178258093e+00,9.617517546889e-01,8.207953874746e-01,1.186755748086e+00
Pb,Sg,0,-3.872088153865e-01,-5.536094310654e+00,1.504614115403e-01,2.525251596512e-01,7.231390512988e-01
Pb,Si,0,4.357241873522e-01,1.867417620807e+00,8.752300428949e-01,6.941552689960e-01,1.103488789270e+00
Pb,Sm,1,3.985178070944e-01,2.383168932301e+00,7.924784779087e-01,6.173767763010e-01,1.132968586669e+00
Pb,Sn,0,9.373175990624e-01,3.291009704975e+00,9.879277869018e-01,8.956483460835e-01,1.185803844446e+00
Pb,Sr,1,4.350016862670e-01,1.752095751277e+00,8.835415084856e-01,7.033670471996e-01,1.096950274007e+00
Pb,Ta,0,5.412891562086e-01,2.752010339073e+00,8.692177790343e-01,6.877144355175e-01,1.154289500364e+00
Pb,Tb,1,3.064556462497e-01,1.965679256245e+00,7.448971533677e-01,5.811845421337e-01,1.109075354201e+00
Pb,Tc,0,5.389521783441e-01,2.593798812686e+00,8.789188071663e-01,6.981976489352e-01,1.145119725653e+00
Pb,Te,0,9.414220641890e-01,3.571942989012e+00,9.879879325054e-01,8.958960697381e-01,1.202397777870e+00
Pb,Th,1,-5.940495692782e-02,-9.472721836720e-01,1.339051102771e-01,2.422064808370e-01,9.494515580703e-01
Pb,Ti,1,3.145092243727e-01,2.013813027474e+00,7.476225113357e-01,5.831495054613e-01,1.111817097840e+00
Pb,Tl,0,8.589022120005e-01,3.730407668184e+00,9.644554743117e-01,8.267599169756e-01,1.211808698916e+00
Pb,Tm,1,-4.700382099944e-02,-3.257219654901e-01,6.258344960297e-01,5.042947913057e-01,9.824709052977e-01
