model,lam,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_l2_vs_real,alpha_target,eta,r_latent,cascade_sigma
M4,2.000000000000e-01,1.415694192873e+02,2.710446006719e+00,1.447112946288e+00,4,7,43,5,15,2,9.465503977954e-01,1.100000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.420679000153e+02,5.265628516727e+00,1.370859900264e+00,4,5,45,5,15,2,6.365937027556e-01,1.100000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.421743450587e+02,4.081735203912e+00,1.550749312953e+00,5,6,41,5,7,2,7.757570306930e-01,1.100000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.427075035366e+02,5.816454827191e+00,1.438782881836e+00,7,14,51,5,15,2,6.091062462428e-01,8.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.435716249802e+02,7.763977607986e+00,1.438598659525e+00,7,19,52,8,20,2,4.884134153486e-01,1.400000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.436964596486e+02,3.053462328840e+00,1.481965753613e+00,4,6,42,5,11,2,9.053661115550e-01,1.100000000000e+01,7.000000000000e-01,4.000000000000e+00,
M5,1.000000000000e+00,1.438136174876e+02,5.239265530148e+00,1.130276457865e+00,4,4,48,5,21,2,6.222142887143e-01,,,4.000000000000e+00,2.000000000000e-01
M4,2.000000000000e-01,1.439844369133e+02,6.184665807262e+00,1.420896712915e+00,7,18,52,5,19,2,5.889546612832e-01,6.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.440763543869e+02,6.959006117797e+00,1.476026798521e+00,6,11,50,5,11,2,4.919488370124e-01,6.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.441414252650e+02,8.401151952457e+00,1.461704278764e+00,9,23,53,5,19,2,4.451463310710e-01,1.200000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.442677787531e+02,8.772756401328e+00,1.471761102918e+00,9,22,53,5,17,2,3.950127602398e-01,1.400000000000e+01,3.000000000000e-01,4.000000000000e+00,
