symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
S,Ru,-9.755436551207e-02,-3.167619098343e-02,-6.854252513213e-01,0,2.000000000000e+00
S,Rh,-1.576682358888e-01,-1.183559147794e-01,-1.196828969427e+00,0,2.000000000000e+00
S,Pd,-4.885875644883e-01,-5.057567025338e-01,-7.141707724252e+00,0,2.000000000000e+00
S,Ag,1.550784811510e-01,4.880320901604e-01,8.057951667579e-01,0,2.000000000000e+00
S,Cd,4.292286723676e-01,6.157135183376e-01,2.186836002930e+00,0,2.000000000000e+00
S,In,9.807690912758e-02,3.351368870771e-01,6.115614109781e-01,0,2.000000000000e+00
S,Sn,5.186605685661e-01,6.798288087501e-01,2.576041391277e+00,0,2.000000000000e+00
S,Sb,3.585990676834e-01,4.238670101942e-01,1.926226765508e+00,0,2.000000000000e+00
S,Te,5.697000388862e-01,6.745355287426e-01,3.057691095544e+00,1,2.000000000000e+00
S,I,8.751511312633e-01,9.171651245768e-01,5.049267626823e+00,0,2.000000000000e+00
S,Xe,3.955606057628e-01,7.009353095292e-01,4.902644766124e+00,0,2.000000000000e+00
S,Cs,-2.030673990532e-01,2.133696148366e-01,-1.302613539791e+00,0,3.000000000000e+00
S,Ba,-7.432616864832e-02,2.940149297730e-01,-6.543753414273e-01,0,3.000000000000e+00
S,La,-1.906764593185e-01,-8.916488162744e-02,-1.425416742130e+00,0,3.000000000000e+00
S,Ce,-1.161942741702e-01,5.782849182432e-02,-1.337122671805e+00,0,3.000000000000e+00
S,Pr,-3.109080938703e-01,-1.710654625528e-01,-2.719087420758e+00,0,3.000000000000e+00
S,Nd,-1.817372176632e-01,3.943159336940e-03,-1.757067942914e+00,0,3.000000000000e+00
S,Pm,-3.059013890026e-01,-2.848959576519e-01,-2.602854806310e+00,0,3.000000000000e+00
S,Sm,-1.771811004489e-01,-6.320672146575e-02,-1.498827680147e+00,0,3.000000000000e+00
S,Eu,-7.636964735752e-02,9.571385592143e-02,-7.012244163222e-01,0,3.000000000000e+00
S,Gd,-7.592125164622e-02,5.093934990940e-02,-6.474593616689e-01,0,3.000000000000e+00
S,Tb,-1.733157903201e-01,-2.125615548246e-02,-1.572571398682e+00,0,3.000000000000e+00
S,Dy,-8.445775298465e-02,7.667435973666e-02,-8.249260782399e-01,0,3.000000000000e+00
S,Ho,-2.892324900826e-01,-1.904311678985e-01,-2.288001944794e+00,0,3.000000000000e+00
S,Er,-7.859620080930e-02,7.547882816807e-02,-7.436377387407e-01,0,3.000000000000e+00
S,Tm,-1.189564539375e-01,6.836676772254e-02,-1.166082039117e+00,0,3.000000000000e+00
S,Yb,-1.493661082808e-01,-3.462774826648e-02,-8.513838652871e-01,0,3.000000000000e+00
S,Lu,-9.602780510080e-02,-4.808205232522e-02,-6.837504557715e-01,0,3.000000000000e+00
S,Hf,-3.041987178234e-01,5.459358691461e-02,-5.118981205508e+00,0,3.000000000000e+00
S,Ta,-1.283504681972e-01,-8.301563136805e-02,-9.230928882849e-01,0,3.000000000000e+00
S,W,-2.405427835717e-01,1.366887448746e-01,-4.053879144657e+00,0,3.000000000000e+00
S,Re,-6.881865268633e-02,1.500065688219e-02,-4.217670746382e-01,0,3.000000000000e+00
S,Os,-7.309393496468e-02,-4.001483555257e-02,-4.871195857587e-01,0,3.000000000000e+00
S,Ir,-6.484973436112e-02,-4.750618227152e-02,-4.106119129916e-01,0,3.000000000000e+00
S,Pt,2.973272697912e-01,2.910037285503e-01,1.603899586887e+00,0,3.000000000000e+00
S,Au,1.707558225675e-01,5.621631347771e-02,1.000084446073e+00,0,3.000000000000e+00
S,Hg,5.481057444727e-01,8.131907439913e-01,3.992335089502e+00,0,3.000000000000e+00
S,Tl,6.477723398860e-02,1.565292460076e-01,3.979808607866e-01,0,3.000000000000e+00
S,Pb,4.172934672172e-01,6.255032534448e-01,2.181557710797e+00,0,3.000000000000e+00
S,Bi,-8.532707031825e-02,9.838595816296e-02,-2.263327696467e+00,0,3.000000000000e+00
S,Po,2.451793604620e-02,2.449151514980e-02,1.657806023655e-01,1,3.000000000000e+00
