condition,regime,K,participation_ratio,effective_rank,levina_bickel_mle,spectral_gap,eig1,eig2
baseline,truncated_1_37,18,6.010785329217e+00,7.123186873771e+00,3.161315845335e+00,2.731514400826e-01,4.204542071928e+00,3.931390631846e+00
baseline,truncated_1_37,19,6.444753159349e+00,7.735137272301e+00,4.159545880424e-01,1.652246905740e-01,4.204560872917e+00,4.039336182343e+00
baseline,truncated_1_37,20,6.901293303126e+00,8.401043352787e+00,2.032170655460e+00,7.815535042271e-02,4.228076928736e+00,4.149921578313e+00
baseline,truncated_1_37,21,7.440022114707e+00,9.117639673470e+00,2.059792923951e+00,7.664017532506e-02,4.228596567401e+00,4.151956392076e+00
baseline,truncated_1_37,22,7.736411582636e+00,9.298513909992e+00,2.054866057482e+00,7.155203744534e-02,4.235708859698e+00,4.164156822253e+00
baseline,truncated_1_37,23,7.934400707919e+00,9.554771747741e+00,2.186165295683e+00,7.256677322821e-02,4.238869912537e+00,4.166303139309e+00
baseline,truncated_1_37,24,7.948745847414e+00,9.597644890664e+00,2.184122482474e+00,1.144920691815e-01,4.296422230669e+00,4.181930161487e+00
baseline,truncated_1_37,25,8.082945470116e+00,9.801434468187e+00,2.162895752981e+00,3.570723823562e-01,4.560745437630e+00,4.203673055273e+00
baseline,truncated_1_37,26,7.886919214531e+00,9.710085896048e+00,2.147302214654e+00,1.085951459814e+00,5.294001632339e+00,4.208050172525e+00
baseline,truncated_1_37,27,7.606097573328e+00,9.531867008902e+00,2.149813267637e+00,1.914067991886e+00,6.128394363272e+00,4.214326371386e+00
baseline,truncated_1_37,28,7.725896546674e+00,9.736570862153e+00,2.223816121316e+00,2.151688927895e+00,6.394887121837e+00,4.243198193942e+00
baseline,truncated_1_37,29,7.712719224247e+00,9.762437368121e+00,2.219785533271e+00,2.496119670080e+00,6.780392352730e+00,4.284272682650e+00
baseline,truncated_1_37,30,7.652633693021e+00,9.881533270556e+00,2.255144384135e+00,2.996391063746e+00,7.305422021290e+00,4.309030957544e+00
baseline,truncated_1_37,31,7.652254301679e+00,1.010824411633e+01,2.271393086371e+00,3.493616535658e+00,7.803659607469e+00,4.310043071811e+00
baseline,truncated_1_37,32,7.590787952613e+00,1.026322277035e+01,2.276953563628e+00,4.035957762764e+00,8.347507936555e+00,4.311550173791e+00
baseline,truncated_1_37,33,7.762575088979e+00,1.056517953685e+01,2.027872661209e+00,3.641000003583e+00,8.387147028283e+00,4.746147024700e+00
baseline,truncated_1_37,34,7.848966103770e+00,1.074925720092e+01,1.915929588935e+00,3.345996198658e+00,8.514624274994e+00,5.168628076336e+00
baseline,truncated_1_37,35,7.848892008911e+00,1.075399422226e+01,1.837771495080e+00,2.843247929345e+00,8.614872119900e+00,5.771624190555e+00
baseline,truncated_1_37,36,7.988564049451e+00,1.098431565280e+01,1.868742039414e+00,2.989892835590e+00,8.801185556623e+00,5.811292721032e+00
baseline,truncated_1_37,37,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
shuffled_control,full_padded_1_60,1,1.000000000000e+00,1.000000000000e+00,4.196430686516e-01,0.000000000000e+00,1.002904667241e+00,0.000000000000e+00
shuffled_control,full_padded_1_60,2,1.753208783239e+00,1.860811250203e+00,1.717397939330e+00,5.907363866630e-01,1.082623679561e+00,4.918872928985e-01
shuffled_control,full_padded_1_60,3,2.738036386847e+00,2.847881770576e+00,2.783241961033e+00,1.411600998461e-01,1.105121306178e+00,9.639612063316e-01
shuffled_control,full_padded_1_60,4,3.538195466575e+00,3.744081714535e+00,3.541452591492e+00,2.300609541243e-01,1.212176027812e+00,9.821150736873e-01
shuffled_control,full_padded_1_60,5,4.415932415653e+00,4.668779845899e+00,4.511086700730e+00,1.275478169874e-01,1.317342914731e+00,1.189795097744e+00
shuffled_control,full_padded_1_60,6,5.189685368973e+00,5.540618523047e+00,5.086149090790e+00,1.524932497571e-01,1.433336191571e+00,1.280842941814e+00
shuffled_control,full_padded_1_60,7,5.796789780702e+00,6.281884152056e+00,5.860375162175e+00,1.563965876478e-01,1.490392296865e+00,1.333995709217e+00
shuffled_control,full_padded_1_60,8,6.134358700295e+00,6.840097419111e+00,6.666532101536e+00,4.154790987969e-01,1.785758722961e+00,1.370279624164e+00
shuffled_control,full_padded_1_60,9,6.846402924260e+00,7.638876417767e+00,7.302622830499e+00,2.592570049474e-01,1.961470635387e+00,1.702213630440e+00
shuffled_control,full_padded_1_60,10,7.352919648961e+00,8.338658100742e+00,8.080173875893e+00,3.176183916269e-01,2.024966817555e+00,1.707348425928e+00
shuffled_control,full_padded_1_60,11,7.558449807211e+00,8.855076150948e+00,8.407660436790e+00,8.761653816012e-01,2.609218241875e+00,1.733052860274e+00
