symbol,atomic_number,pc1,pc2,pc3,name,period,group,electronegativity_pauling,ionization_energy_1,atomic_radius,source_note,block
Ru,44,1.6201959906138543,1.0214509540532124,0.4675939578288649,Ruthenium,5,8.0,2.2,7.360706188405547,178.0,Bluegrams periodic-table-data CSV,d
S,16,-1.2649839427168783,0.2454694185724876,0.1177285360035253,Sulfur,3,16.0,2.58,10.360126592410849,88.0,Bluegrams periodic-table-data CSV,p
Sb,51,-0.180091414502227,-0.658064912700157,-0.8481816848521937,Antimony,5,15.0,2.05,8.643803099310372,133.0,Bluegrams periodic-table-data CSV,p
Sc,21,0.4897116518201654,-0.1629187279315025,-0.5355299998209384,Scandium,4,3.0,1.36,6.561620793972898,184.0,Bluegrams periodic-table-data CSV,d
Se,34,0.482830012980347,-0.0449365375057885,-0.3923678963519613,Selenium,4,16.0,2.55,9.75278023555283,103.0,Bluegrams periodic-table-data CSV,p
Sg,106,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,Seaborgium,7,6.0,,,,Bluegrams periodic-table-data CSV,d
Si,14,0.7906518990141471,-0.0405568179040757,-0.6003953202488851,Silicon,3,14.0,1.9,8.151500164997131,111.0,Bluegrams periodic-table-data CSV,p
Sm,62,2.799052333992722,2.1317514176253742,1.3575055085176622,Samarium,6,,1.17,5.643346268074937,238.0,Bluegrams periodic-table-data CSV,f
Sn,50,0.5113510138028817,-0.0407032226886324,-0.3992911620478558,Tin,5,14.0,1.96,7.344123352723416,145.0,Bluegrams periodic-table-data CSV,p
Sr,38,-0.0496126821964179,-0.6194297497937172,-0.8397546334957058,Strontium,5,2.0,0.95,5.695167629581594,219.0,Bluegrams periodic-table-data CSV,s
Ta,73,0.8406923507797011,0.316786089440144,-0.0374470217951096,Tantalum,6,5.0,1.5,7.887211221313181,200.0,Bluegrams periodic-table-data CSV,d
Tb,65,5.777724385452825,5.078856696937153,3.732272691306469,Terbium,6,,1.2,5.864105268093295,225.0,Bluegrams periodic-table-data CSV,f
Tc,43,0.8386166968423554,0.2976157009464815,-0.0840446364507885,Technetium,5,7.0,1.9,7.275719155534629,183.0,Bluegrams periodic-table-data CSV,d
Te,52,-0.0940470390948282,-0.5500724281774015,-0.7568025758956071,Tellurium,5,16.0,2.1,9.009661911547369,123.0,Bluegrams periodic-table-data CSV,p
Th,90,2.8048729796231995,2.858685113573771,1.6031500270672416,Thorium,7,,1.3,6.08382784088152,,Bluegrams periodic-table-data CSV,f
Ti,22,1.3650440807490931,0.9289719306647886,0.2533981167222759,Titanium,4,4.0,1.54,6.827982592117113,176.0,Bluegrams periodic-table-data CSV,d
Tl,81,-0.2329451010503852,-0.6688872582959065,-0.8353848388099218,Thallium,6,13.0,1.62,6.108702094404715,156.0,Bluegrams periodic-table-data CSV,p
Tm,69,0.4710657393509854,-0.1685516598204062,-0.4070398993440356,Thulium,6,,1.25,6.184361282204435,222.0,Bluegrams periodic-table-data CSV,f
U,92,-0.2808719329736602,-0.6812664243209767,-0.8434275540194065,Uranium,7,,1.38,6.193689127275634,,Bluegrams periodic-table-data CSV,f
V,23,2.485847233549584,1.8930675991454624,1.0209005732209018,Vanadium,4,5.0,1.63,6.746104840936596,171.0,Bluegrams periodic-table-data CSV,d
W,74,1.238619907605217,0.5631020321854227,0.098114728234724,Tungsten,6,6.0,2.36,7.980489672025163,193.0,Bluegrams periodic-table-data CSV,d
Xe,54,-0.8910642639593346,-0.7812902111306991,-0.6913604957441168,Xenon,5,18.0,2.6,12.13034430147825,108.0,Bluegrams periodic-table-data CSV,p
Y,39,0.028825076642321,-0.7600521601788713,1.2348326133626484,Yttrium,5,3.0,1.22,6.2185633807988285,212.0,Bluegrams periodic-table-data CSV,d
Yb,70,-0.1490449345759329,-0.6674458101206177,-0.8533293360786298,Ytterbium,6,,1.1,6.253801906623355,222.0,Bluegrams periodic-table-data CSV,f
Zn,30,-0.7224870169815593,-0.8813122760077305,-0.585840801252755,Zinc,4,12.0,1.65,9.394176413926765,142.0,Bluegrams periodic-table-data CSV,d
Zr,40,1.726308844197092,1.2006692291331602,0.6623675350735896,Zirconium,5,4.0,1.33,6.634170700082217,206.0,Bluegrams periodic-table-data CSV,d
